ТИК;УИК;Число избирателей, внесенных в список;Число бюллетеней, полученных УИК;Число бюллетеней, выданных в помещении для голосования;Число бюллетеней, выданных вне помещения для голосования;Число погашенных бюллетеней;Число бюллетеней, содержащихся в переносных ящиках;Число бюллетеней, содержащихся в стационарных ящиках;Число недействительных бюллетеней;Число действительных бюллетеней;Число открепительных удостоверений, полученных УИК;Число открепительных удостоверений, выданных УИК до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям;Число неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных ТИК избирателям;Число утраченных открепительных удостоверений;Число утраченных бюллетеней;Число бюллетеней, не учтенных при получении;ТИК;УИК
район Северное Тушино;3018;2550;2200;708;25;1467;25;708;16;717;0;0;1;0;4;0;0;0;район Северное Тушино;3018
район Северное Тушино;3019;378;370;106;253;11;253;106;7;352;0;0;3;0;0;0;0;0;район Северное Тушино;3019
район Северное Тушино;3776;26;26;26;0;0;0;26;1;25;0;0;0;0;0;0;0;0;район Северное Тушино;3776
район Строгино;3020;2400;1700;711;24;965;24;708;11;721;0;0;0;0;1;0;0;0;район Строгино;3020
район Строгино;3021;2414;1700;892;15;793;15;883;12;886;0;0;2;0;1;0;0;0;район Строгино;3021
район Строгино;3022;2250;1600;752;28;820;28;750;5;773;0;0;0;0;3;0;0;0;район Строгино;3022
район Строгино;3023;2597;1900;810;22;1068;22;809;7;824;0;0;0;0;0;0;0;0;район Строгино;3023
район Строгино;3024;2550;1800;792;17;991;17;792;13;796;0;0;0;0;1;0;0;0;район Строгино;3024
район Строгино;3025;2371;1700;735;13;952;13;734;15;732;0;0;0;0;1;0;0;0;район Строгино;3025
район Строгино;3026;1205;900;347;15;538;15;347;4;358;0;0;0;0;0;0;0;0;район Строгино;3026
район Строгино;3027;1642;1200;533;8;659;8;533;9;532;0;0;0;0;1;0;0;0;район Строгино;3027
район Строгино;3028;970;700;246;3;451;3;245;5;243;0;0;0;0;0;0;0;0;район Строгино;3028
район Строгино;3029;2481;1800;688;12;1100;12;686;9;689;0;0;1;0;2;0;0;0;район Строгино;3029
район Строгино;3030;2291;1700;697;12;991;12;693;9;696;0;0;1;0;0;0;0;0;район Строгино;3030
район Строгино;3031;2071;1503;653;19;831;19;649;15;653;0;0;1;0;1;0;0;0;район Строгино;3031
район Строгино;3032;1254;900;411;8;481;8;411;7;412;0;0;0;0;1;0;0;0;район Строгино;3032
район Строгино;3033;1616;1200;607;5;588;5;607;5;607;1;1;0;0;0;0;0;0;район Строгино;3033
район Строгино;3034;1899;1400;595;4;801;4;593;14;583;0;0;0;0;1;0;0;0;район Строгино;3034
район Строгино;3035;1505;1100;500;23;577;23;500;3;520;0;0;0;0;0;0;0;0;район Строгино;3035
район Строгино;3036;2244;1600;710;13;877;13;709;10;712;0;0;0;0;0;0;0;0;район Строгино;3036
район Строгино;3037;1110;800;371;14;415;14;371;6;379;0;0;0;0;0;0;0;0;район Строгино;3037
район Строгино;3038;2539;1800;736;28;1036;28;735;9;754;0;0;3;0;0;0;0;0;район Строгино;3038
район Строгино;3039;2339;1700;749;19;932;19;749;12;756;2;2;0;0;2;0;0;0;район Строгино;3039
район Строгино;3040;2363;1700;655;21;1025;21;655;6;670;1;1;0;0;0;0;0;1;район Строгино;3040
район Строгино;3041;2273;1600;656;23;921;23;656;5;674;1;1;0;0;0;0;0;0;район Строгино;3041
район Строгино;3042;1453;1100;476;6;618;6;476;5;477;0;0;1;0;1;0;0;0;район Строгино;3042
район Строгино;3043;1966;1400;649;20;731;20;646;9;657;0;0;0;0;0;0;0;0;район Строгино;3043
район Строгино;3044;2233;1600;690;11;899;11;689;13;687;0;0;0;0;0;0;0;0;район Строгино;3044
район Строгино;3045;2388;1700;774;15;911;15;773;11;777;0;0;0;0;0;0;0;0;район Строгино;3045
район Строгино;3046;2239;1600;542;6;1052;6;541;6;541;0;0;0;0;1;0;0;0;район Строгино;3046
район Строгино;3047;1755;1300;527;15;758;15;527;5;537;0;0;0;0;0;0;0;0;район Строгино;3047
район Строгино;3048;1707;1200;527;14;659;13;526;8;531;1;1;0;0;0;0;0;0;район Строгино;3048
район Строгино;3049;2397;1700;799;26;875;26;797;20;803;0;0;0;0;0;0;0;0;район Строгино;3049
район Строгино;3050;2029;1500;593;18;889;18;593;8;603;0;0;0;0;0;0;0;0;район Строгино;3050
район Строгино;3051;1804;1300;525;18;757;18;525;4;539;0;0;0;0;0;0;0;0;район Строгино;3051
район Строгино;3052;2051;1500;660;21;819;21;660;5;676;0;0;0;0;0;0;0;0;район Строгино;3052
район Строгино;3053;1544;1100;551;5;544;5;551;10;546;1;1;0;0;0;0;0;0;район Строгино;3053
район Строгино;3054;1649;1200;542;12;646;12;540;9;543;0;0;0;0;0;0;0;0;район Строгино;3054
район Строгино;3055;2372;1700;730;30;940;30;730;21;739;1;1;0;0;0;0;0;0;район Строгино;3055
район Строгино;3056;2560;1800;832;37;931;37;831;27;841;0;0;0;0;1;0;0;0;район Строгино;3056
район Строгино;3057;2432;1800;746;20;1034;20;744;15;749;0;0;0;0;1;0;0;0;район Строгино;3057
район Строгино;3058;2192;1600;528;10;1062;10;527;4;533;0;0;1;0;0;0;0;0;район Строгино;3058
район Строгино;3059;1619;1200;540;10;650;10;539;8;541;0;0;1;0;0;0;0;0;район Строгино;3059
район Строгино;3060;1098;800;370;5;425;5;369;9;365;0;0;0;0;0;0;0;0;район Строгино;3060
район Строгино;3061;2114;1500;743;9;750;9;743;6;746;0;0;2;0;0;0;0;2;район Строгино;3061
район Строгино;3062;2431;1800;840;26;934;26;840;9;857;0;0;0;0;0;0;0;0;район Строгино;3062
район Строгино;3063;2517;1800;900;22;878;22;900;6;916;0;0;0;0;0;0;0;0;район Строгино;3063
район Строгино;3064;445;400;142;19;239;19;142;2;159;0;0;0;0;0;0;0;0;район Строгино;3064
район Хорошево-Мневники;3065;2283;1600;792;2;806;2;791;10;783;0;0;0;0;1;0;0;0;район Хорошево-Мневники;3065
район Хорошево-Мневники;3066;2241;1600;699;6;895;6;698;19;685;0;0;0;0;2;0;0;0;район Хорошево-Мневники;3066
район Хорошево-Мневники;3067;2043;1500;638;28;834;28;638;15;651;0;0;5;0;1;0;0;0;район Хорошево-Мневники;3067
район Хорошево-Мневники;3068;2411;1700;601;23;1076;23;601;13;611;0;0;1;0;2;0;0;0;район Хорошево-Мневники;3068
район Хорошево-Мневники;3069;2368;1700;607;28;1065;28;606;10;624;0;0;0;0;3;0;0;0;район Хорошево-Мневники;3069
район Хорошево-Мневники;3070;2616;1800;756;13;1031;13;754;11;756;0;0;4;0;7;0;0;0;район Хорошево-Мневники;3070
район Хорошево-Мневники;3071;2312;1700;541;19;1140;19;537;7;549;0;0;1;0;0;0;0;0;район Хорошево-Мневники;3071
район Хорошево-Мневники;3072;2111;1500;617;12;871;12;617;9;620;0;0;1;0;1;0;0;0;район Хорошево-Мневники;3072
район Хорошево-Мневники;3073;2440;1700;662;16;1022;16;662;12;666;0;0;2;0;4;0;0;0;район Хорошево-Мневники;3073
район Хорошево-Мневники;3074;2111;1500;503;28;969;19;503;9;513;0;0;0;0;3;0;0;0;район Хорошево-Мневники;3074
район Хорошево-Мневники;3075;2064;1500;524;18;958;18;524;7;535;0;0;0;0;2;0;0;0;район Хорошево-Мневники;3075
район Хорошево-Мневники;3076;2068;1500;595;47;858;47;594;10;631;0;0;1;0;0;0;0;0;район Хорошево-Мневники;3076
район Хорошево-Мневники;3077;2024;1500;557;19;924;19;556;5;570;0;0;0;0;0;0;0;0;район Хорошево-Мневники;3077
район Хорошево-Мневники;3078;2227;1600;703;22;875;22;701;11;712;0;0;0;0;2;0;0;0;район Хорошево-Мневники;3078
район Хорошево-Мневники;3079;2036;1500;618;21;861;21;617;5;633;0;0;0;0;1;0;0;0;район Хорошево-Мневники;3079
район Хорошево-Мневники;3080;2039;1500;585;30;885;30;585;11;604;0;0;7;0;2;0;0;0;район Хорошево-Мневники;3080
район Хорошево-Мневники;3081;2056;1500;645;18;837;18;642;12;648;0;0;4;0;2;0;0;0;район Хорошево-Мневники;3081
район Хорошево-Мневники;3082;2037;1500;682;26;792;26;681;17;690;0;0;2;0;3;0;0;0;район Хорошево-Мневники;3082
район Хорошево-Мневники;3083;2007;1500;711;19;770;19;710;8;721;0;0;3;0;0;0;0;0;район Хорошево-Мневники;3083
район Хорошево-Мневники;3084;2171;1600;656;22;922;22;656;15;663;0;0;2;0;3;0;0;0;район Хорошево-Мневники;3084
район Хорошево-Мневники;3085;2067;1500;573;20;907;20;573;14;579;0;0;9;0;3;0;0;0;район Хорошево-Мневники;3085
район Хорошево-Мневники;3086;2066;1500;662;20;818;20;662;9;673;0;0;2;0;5;0;0;0;район Хорошево-Мневники;3086
район Хорошево-Мневники;3087;2389;1700;680;17;1003;17;679;16;680;0;0;1;0;1;0;0;0;район Хорошево-Мневники;3087
район Хорошево-Мневники;3088;2532;1800;831;13;956;13;831;8;836;0;0;3;0;2;0;0;0;район Хорошево-Мневники;3088
район Хорошево-Мневники;3089;2211;1600;717;20;863;20;716;12;724;0;0;0;0;1;0;0;0;район Хорошево-Мневники;3089
район Хорошево-Мневники;3090;2093;1500;676;28;796;28;674;6;696;0;0;4;0;1;0;0;0;район Хорошево-Мневники;3090
район Хорошево-Мневники;3091;2019;1500;617;17;866;17;616;9;624;0;0;0;0;0;0;0;0;район Хорошево-Мневники;3091
район Хорошево-Мневники;3092;2285;1600;743;12;845;12;742;18;736;0;0;3;0;1;0;0;0;район Хорошево-Мневники;3092
район Хорошево-Мневники;3093;2129;1500;736;38;726;38;735;15;758;0;0;2;0;0;0;0;0;район Хорошево-Мневники;3093
район Хорошево-Мневники;3094;2349;1700;756;34;910;34;756;9;781;0;0;0;0;4;0;0;0;район Хорошево-Мневники;3094
район Хорошево-Мневники;3095;2199;1600;534;15;1051;15;534;14;535;0;0;4;0;4;0;0;0;район Хорошево-Мневники;3095
район Хорошево-Мневники;3096;2321;1700;605;20;1075;20;605;13;612;0;0;1;0;2;0;0;0;район Хорошево-Мневники;3096
район Хорошево-Мневники;3097;2185;1600;647;18;935;18;647;26;639;0;0;4;0;1;0;0;0;район Хорошево-Мневники;3097
район Хорошево-Мневники;3098;2395;1700;654;27;1019;27;654;14;667;0;0;2;0;1;0;0;0;район Хорошево-Мневники;3098
район Хорошево-Мневники;3099;2027;1500;593;12;895;12;592;11;593;0;0;1;0;0;0;0;0;район Хорошево-Мневники;3099
район Хорошево-Мневники;3100;2042;1500;604;20;876;20;604;9;615;0;0;1;0;3;0;0;0;район Хорошево-Мневники;3100
район Хорошево-Мневники;3101;1799;1300;570;15;715;15;570;7;578;0;0;0;0;1;0;0;0;район Хорошево-Мневники;3101
район Хорошево-Мневники;3102;1161;900;378;10;512;10;378;8;380;0;0;2;0;1;0;0;0;район Хорошево-Мневники;3102
район Хорошево-Мневники;3103;2074;1500;707;31;762;31;707;7;731;0;0;1;0;6;0;0;0;район Хорошево-Мневники;3103
район Хорошево-Мневники;3104;2005;1500;673;19;808;19;672;8;683;0;0;2;0;1;0;0;0;район Хорошево-Мневники;3104
район Хорошево-Мневники;3105;2010;1500;582;18;900;18;581;9;590;0;0;1;0;1;0;0;0;район Хорошево-Мневники;3105
район Хорошево-Мневники;3106;2076;1500;611;9;880;9;611;8;612;0;0;0;0;3;0;0;0;район Хорошево-Мневники;3106
район Хорошево-Мневники;3107;2128;1500;609;16;875;16;607;8;615;0;0;0;0;3;0;0;0;район Хорошево-Мневники;3107
район Хорошево-Мневники;3108;2058;1500;637;15;848;15;635;5;645;0;0;0;0;3;0;0;0;район Хорошево-Мневники;3108
район Хорошево-Мневники;3109;1496;1100;509;18;573;18;508;5;521;0;0;1;0;2;0;0;0;район Хорошево-Мневники;3109
район Хорошево-Мневники;3110;357;300;107;3;190;3;106;2;107;0;0;0;0;1;0;0;0;район Хорошево-Мневники;3110
район Хорошево-Мневники;3777;335;500;335;0;165;0;335;10;325;0;0;0;0;0;0;0;0;район Хорошево-Мневники;3777
район Хорошево-Мневники;3778;41;70;34;0;36;0;34;0;34;0;0;0;0;0;0;0;0;район Хорошево-Мневники;3778
район Хорошево-Мневники;3779;384;800;246;129;425;129;246;11;364;0;0;0;0;0;0;0;0;район Хорошево-Мневники;3779
район Щукино;3111;2194;2000;757;35;1208;35;754;10;779;0;0;3;0;2;0;0;0;район Щукино;3111
район Щукино;3112;2250;2000;691;30;1279;30;691;4;717;0;0;1;0;1;0;0;0;район Щукино;3112
район Щукино;3113;2241;2000;685;41;1274;41;685;13;713;2;1;1;1;1;0;0;0;район Щукино;3113
район Щукино;3114;2475;2100;813;23;1264;23;811;14;820;0;0;0;0;0;0;0;0;район Щукино;3114
район Щукино;3115;2674;2400;856;38;1506;38;853;15;876;1;1;1;0;2;0;0;0;район Щукино;3115
район Щукино;3116;2220;2000;678;37;1285;37;678;2;713;0;0;0;0;1;0;0;0;район Щукино;3116
район Щукино;3117;2506;2200;882;26;1292;26;881;15;892;0;0;6;0;0;0;0;0;район Щукино;3117
район Щукино;3118;1809;1600;668;24;908;24;667;6;685;0;0;0;0;1;0;0;0;район Щукино;3118
район Щукино;3119;1381;1250;487;8;755;8;487;6;489;0;0;0;0;0;0;0;0;район Щукино;3119
район Щукино;3120;522;400;156;0;244;0;156;1;155;0;0;0;0;0;0;0;0;район Щукино;3120
район Щукино;3121;2206;1900;690;12;1198;12;688;10;690;0;0;0;0;0;0;0;0;район Щукино;3121
район Щукино;3122;2280;2050;759;35;1256;35;759;8;786;0;0;0;0;2;0;0;0;район Щукино;3122
район Щукино;3123;2145;1900;682;37;1181;37;680;36;681;1;0;0;1;1;0;0;0;район Щукино;3123
район Щукино;3124;2385;2100;735;38;1327;38;732;8;762;3;3;0;0;4;0;0;0;район Щукино;3124
район Щукино;3125;2665;2400;955;25;1420;25;954;18;961;1;1;0;0;1;0;0;0;район Щукино;3125
район Щукино;3126;2080;1800;674;19;1107;19;673;18;674;0;0;0;0;1;0;0;0;район Щукино;3126
район Щукино;3127;2539;2300;907;28;1365;28;904;12;920;1;0;0;1;1;0;0;0;район Щукино;3127
район Щукино;3128;2201;1900;800;26;1074;26;799;9;816;0;0;0;0;1;0;0;0;район Щукино;3128
район Щукино;3129;2060;1800;712;25;1063;25;704;8;721;4;3;10;1;1;0;0;0;район Щукино;3129
район Щукино;3130;1814;1600;635;15;950;15;634;9;640;0;0;0;0;1;0;0;0;район Щукино;3130
район Щукино;3131;1840;1600;641;10;949;10;641;8;643;0;0;1;0;0;0;0;0;район Щукино;3131
район Щукино;3132;2137;1900;703;13;1184;13;700;8;705;0;0;1;0;0;0;0;0;район Щукино;3132
район Щукино;3133;2002;1800;707;29;1064;29;705;11;723;0;0;0;0;4;0;0;0;район Щукино;3133
район Щукино;3134;1609;1500;486;25;989;25;486;1;510;0;0;3;0;0;0;0;0;район Щукино;3134
район Щукино;3135;2389;2150;749;15;1386;15;747;13;749;1;1;1;0;0;0;0;0;район Щукино;3135
район Щукино;3136;1667;1500;541;6;953;6;541;7;540;2;2;0;0;1;0;0;0;район Щукино;3136
район Щукино;3137;2517;2200;774;20;1406;20;774;17;777;0;0;0;0;1;0;0;0;район Щукино;3137
район Щукино;3138;2796;2500;855;55;1590;55;854;6;903;0;0;0;0;1;0;0;0;район Щукино;3138
район Щукино;3139;2333;2100;612;16;1472;16;611;7;620;0;0;0;0;1;0;0;0;район Щукино;3139
район Щукино;3780;170;400;108;13;279;13;108;1;120;0;0;0;0;0;0;0;0;район Щукино;3780
район Щукино;3781;275;800;16;240;544;240;16;240;16;0;0;0;0;0;0;0;0;район Щукино;3781
район Щукино;3782;123;300;114;0;186;0;114;1;113;0;0;0;0;0;0;0;0;район Щукино;3782
район Щукино;3783;60;300;60;0;240;0;60;0;60;0;0;0;0;0;0;0;0;район Щукино;3783
район Щукино;3784;133;150;133;0;17;0;133;1;132;0;0;0;0;0;0;0;0;район Щукино;3784
район Щукино;3785;178;300;157;0;143;0;157;0;157;0;0;2;0;0;0;0;0;район Щукино;3785
район Щукино;3786;13;50;11;0;39;0;11;0;11;0;0;3;0;0;0;0;0;район Щукино;3786
район Щукино;3787;24;100;24;0;76;0;24;1;23;0;0;0;0;0;0;0;0;район Щукино;3787
район Щукино;3789;1404;1450;1321;0;129;0;1321;16;1305;0;0;0;0;0;0;0;0;район Щукино;3789
район Южное Тушино;3140;1988;1800;571;17;1212;17;571;11;577;0;0;1;0;4;0;0;0;район Южное Тушино;3140
район Южное Тушино;3141;1848;1700;517;53;1130;53;517;7;563;0;0;1;0;5;0;0;0;район Южное Тушино;3141
район Южное Тушино;3142;1861;1800;587;43;1170;43;587;10;620;0;0;2;0;5;0;0;0;район Южное Тушино;3142
район Южное Тушино;3143;2002;1900;705;36;1159;36;705;8;733;0;0;3;0;2;0;0;0;район Южное Тушино;3143
район Южное Тушино;3144;1843;1700;696;32;972;32;695;17;710;0;0;2;0;1;0;0;0;район Южное Тушино;3144
район Южное Тушино;3145;1285;1200;405;5;795;5;405;8;402;0;0;8;0;3;0;0;5;район Южное Тушино;3145
район Южное Тушино;3146;1986;1900;587;35;1278;35;587;13;609;0;0;0;0;3;0;0;0;район Южное Тушино;3146
район Южное Тушино;3147;2258;2100;619;42;1439;42;619;12;649;0;0;3;0;2;0;0;0;район Южное Тушино;3147
район Южное Тушино;3148;2426;2300;666;56;1578;56;664;8;712;0;0;2;0;2;0;0;0;район Южное Тушино;3148
район Южное Тушино;3149;2352;2200;681;40;1479;40;676;14;702;0;0;1;0;2;0;0;0;район Южное Тушино;3149
район Южное Тушино;3150;2371;2300;688;43;1569;43;687;9;721;0;0;1;0;1;0;0;0;район Южное Тушино;3150
район Южное Тушино;3151;2063;2000;563;42;1395;42;562;8;596;0;0;0;0;2;0;0;0;район Южное Тушино;3151
район Южное Тушино;3152;1501;1400;417;13;970;13;417;9;421;0;0;1;0;1;0;0;0;район Южное Тушино;3152
район Южное Тушино;3153;1285;1000;405;11;584;11;405;11;405;0;0;0;0;0;0;0;0;район Южное Тушино;3153
район Южное Тушино;3154;1458;1300;347;22;931;22;347;4;365;0;0;0;0;0;0;0;0;район Южное Тушино;3154
район Южное Тушино;3155;1150;1000;295;26;679;26;295;10;311;0;0;1;0;0;0;0;0;район Южное Тушино;3155
район Южное Тушино;3156;1757;1600;542;29;1029;29;542;21;550;0;0;1;0;2;0;0;0;район Южное Тушино;3156
район Южное Тушино;3157;2264;2100;616;13;1471;13;616;7;622;0;0;1;0;2;0;0;0;район Южное Тушино;3157
район Южное Тушино;3158;2287;2200;689;29;1482;29;688;17;700;0;0;0;0;4;0;0;0;район Южное Тушино;3158
район Южное Тушино;3159;2315;2200;662;33;1505;33;661;20;674;0;0;3;0;3;0;0;0;район Южное Тушино;3159
район Южное Тушино;3160;2390;2300;722;49;1529;49;722;12;759;0;0;4;0;3;0;0;0;район Южное Тушино;3160
район Южное Тушино;3161;2332;2200;659;50;1491;50;659;22;687;0;0;0;0;1;0;0;0;район Южное Тушино;3161
район Южное Тушино;3162;2304;2200;714;59;1427;59;714;9;764;0;0;3;0;2;0;0;0;район Южное Тушино;3162
район Южное Тушино;3163;1468;1300;376;16;908;16;375;7;384;0;0;5;0;0;0;0;0;район Южное Тушино;3163
район Южное Тушино;3164;1805;1700;403;32;1265;32;403;8;427;0;0;2;0;0;0;0;0;район Южное Тушино;3164
район Южное Тушино;3165;2450;2300;609;23;1668;23;609;8;624;0;0;2;0;1;0;0;0;район Южное Тушино;3165
район Южное Тушино;3166;2367;2200;698;21;1481;21;697;12;706;0;0;3;0;2;0;0;0;район Южное Тушино;3166
район Южное Тушино;3167;2293;2200;718;17;1465;17;714;15;716;0;0;3;0;1;0;0;0;район Южное Тушино;3167
район Южное Тушино;3168;1760;1600;489;22;1089;22;489;8;503;0;0;0;0;1;0;0;0;район Южное Тушино;3168
район Южное Тушино;3169;1828;1700;578;21;1101;21;578;9;590;0;0;1;0;1;0;0;0;район Южное Тушино;3169
район Южное Тушино;3170;2191;2100;643;10;1447;10;643;12;641;0;0;6;0;4;0;0;0;район Южное Тушино;3170
район Южное Тушино;3171;2639;2500;847;19;1634;19;847;11;855;0;0;0;0;0;0;0;0;район Южное Тушино;3171
район Южное Тушино;3790;46;200;45;0;155;0;45;0;45;0;0;0;0;0;0;0;0;район Южное Тушино;3790
район Арбат;1;1896;1400;643;48;709;48;643;5;686;0;0;0;0;1;0;0;0;район Арбат;1
район Арбат;2;1729;1300;581;25;694;25;580;6;599;0;0;1;0;2;0;0;0;район Арбат;2
район Арбат;3;1184;900;356;34;510;34;356;3;387;0;0;0;0;0;0;0;0;район Арбат;3
район Арбат;4;1851;1300;649;45;606;45;649;4;690;0;0;1;0;0;0;0;0;район Арбат;4
район Арбат;5;1920;1400;650;48;702;48;650;7;691;0;0;0;0;1;0;0;0;район Арбат;5
район Арбат;6;1393;1000;388;11;601;11;387;3;395;0;0;0;0;0;0;0;0;район Арбат;6
район Арбат;7;1760;1300;540;28;732;28;540;5;563;0;0;1;0;0;0;0;0;район Арбат;7
район Арбат;8;1726;1300;549;40;711;40;549;5;584;0;0;0;0;0;0;0;0;район Арбат;8
район Арбат;9;1647;1900;1218;0;682;0;1216;28;1188;0;0;0;0;0;0;0;0;район Арбат;9
Басманный район;10;1383;1300;406;12;882;12;404;3;413;0;0;0;0;0;0;0;0;Басманный район;10
Басманный район;11;1866;1500;609;20;871;20;608;2;626;0;0;0;0;1;0;0;0;Басманный район;11
Басманный район;12;1972;1500;634;29;837;29;634;12;651;0;0;5;0;1;0;0;0;Басманный район;12
Басманный район;13;1896;1500;698;17;785;17;697;11;703;0;0;0;0;2;0;0;0;Басманный район;13
Басманный район;14;2398;2000;809;14;1177;14;808;9;813;0;0;7;0;3;0;0;0;Басманный район;14
Басманный район;15;1441;1200;457;12;731;12;457;9;460;0;0;0;0;0;0;0;0;Басманный район;15
Басманный район;16;2412;2000;810;21;1170;21;810;11;820;0;0;0;0;2;0;0;1;Басманный район;16
Басманный район;17;1159;1000;440;21;539;20;440;7;453;0;0;0;0;0;0;0;0;Басманный район;17
Басманный район;18;2327;2000;765;37;1198;37;763;7;793;0;0;0;0;3;0;0;0;Басманный район;18
Басманный район;19;2505;2000;756;29;1215;29;756;13;772;0;0;0;0;0;0;0;0;Басманный район;19
Басманный район;20;1870;1500;593;25;882;25;593;7;611;0;0;0;0;2;0;0;0;Басманный район;20
Басманный район;21;2479;2000;649;36;1315;36;649;14;671;1;1;3;0;1;0;0;0;Басманный район;21
Басманный район;22;2120;1500;560;11;929;11;560;9;562;0;0;0;0;1;0;0;0;Басманный район;22
Басманный район;23;2434;2000;843;36;1121;36;843;6;873;0;0;1;0;1;0;0;0;Басманный район;23
Басманный район;24;1610;1600;492;21;1087;21;492;4;509;0;0;0;0;0;0;0;0;Басманный район;24
Басманный район;25;2879;2500;971;43;1486;43;969;15;997;0;0;0;0;6;0;0;0;Басманный район;25
Басманный район;26;2576;2000;837;30;1133;30;835;7;858;0;0;3;0;3;0;0;0;Басманный район;26
Басманный район;27;1534;1300;647;13;640;13;647;8;652;0;0;0;0;0;0;0;0;Басманный район;27
Басманный район;28;1353;1000;452;2;546;2;452;2;452;0;0;0;0;1;0;0;0;Басманный район;28
Басманный район;29;2767;2000;835;16;1149;16;835;5;846;0;0;0;0;1;0;0;0;Басманный район;29
Басманный район;30;2615;2000;843;42;1115;42;843;12;873;0;0;0;0;1;0;0;0;Басманный район;30
Басманный район;31;1080;1000;333;21;646;21;333;1;353;0;0;0;0;0;0;0;0;Басманный район;31
Басманный район;32;2623;2000;710;29;1261;29;710;8;731;0;0;0;0;0;0;0;0;Басманный район;32
Басманный район;33;2719;2000;747;32;1221;32;746;14;764;0;0;1;0;1;0;0;0;Басманный район;33
Басманный район;34;2297;2000;864;11;1125;11;863;11;863;0;0;0;0;0;0;0;0;Басманный район;34
Басманный район;35;2463;2000;698;26;1276;26;696;10;712;0;0;2;0;0;0;0;0;Басманный район;35
Басманный район;36;2815;2500;839;20;1641;20;839;15;844;0;0;2;0;2;0;0;0;Басманный район;36
Басманный район;37;1994;1500;638;50;812;50;638;7;681;0;0;4;0;1;0;0;0;Басманный район;37
Басманный район;3601;140;500;62;78;360;78;62;2;138;0;0;0;0;0;0;0;0;Басманный район;3601
Басманный район;3602;37;200;16;21;163;21;16;1;36;0;0;0;0;0;0;0;0;Басманный район;3602
Басманный район;3603;154;500;75;61;364;61;75;3;133;0;0;0;0;0;0;0;0;Басманный район;3603
Басманный район;3604;140;250;117;15;118;15;117;1;131;0;0;0;0;0;0;0;0;Басманный район;3604
Басманный район;3605;54;100;54;0;46;0;54;0;54;0;0;0;0;0;0;0;0;Басманный район;3605
Басманный район;3606;50;150;50;0;100;0;50;0;50;0;0;0;0;0;0;0;0;Басманный район;3606
Басманный район;3607;22;100;22;0;78;0;22;0;22;0;0;0;0;0;0;0;0;Басманный район;3607
Басманный район;3608;14;120;14;0;106;0;14;0;14;0;0;0;0;0;0;0;0;Басманный район;3608
Басманный район;3609;51;120;47;4;69;4;47;0;51;0;0;0;0;0;0;0;0;Басманный район;3609
район Замоскворечье;38;2571;1800;830;30;940;30;830;8;852;1;1;1;0;0;0;0;0;район Замоскворечье;38
район Замоскворечье;39;2522;1750;866;26;858;26;865;14;877;0;0;5;0;0;0;0;0;район Замоскворечье;39
район Замоскворечье;40;2277;1590;681;26;883;26;679;5;700;3;3;0;0;0;0;0;0;район Замоскворечье;40
район Замоскворечье;41;2488;1680;827;40;812;40;827;5;862;2;1;1;1;1;0;1;0;район Замоскворечье;41
район Замоскворечье;42;2632;1830;824;32;974;32;821;11;842;0;0;0;0;5;0;0;0;район Замоскворечье;42
район Замоскворечье;43;2414;1690;756;34;900;34;754;12;776;0;0;0;0;0;0;0;0;район Замоскворечье;43
район Замоскворечье;44;2863;2000;785;35;1180;20;784;12;792;0;0;2;0;1;0;0;0;район Замоскворечье;44
район Замоскворечье;45;2291;1600;731;29;839;29;731;8;752;0;0;0;0;0;0;1;0;район Замоскворечье;45
район Замоскворечье;46;2466;1720;704;37;979;37;703;10;730;0;0;1;0;1;0;0;0;район Замоскворечье;46
район Замоскворечье;47;2254;1570;690;26;854;26;690;6;710;0;0;0;0;1;0;0;0;район Замоскворечье;47
район Замоскворечье;48;2472;1720;832;31;857;31;832;15;848;0;0;0;0;1;0;0;0;район Замоскворечье;48
район Замоскворечье;3610;71;100;42;29;29;29;42;3;68;0;0;0;0;0;0;0;0;район Замоскворечье;3610
район Замоскворечье;3611;70;110;66;0;44;0;66;7;59;0;0;0;0;0;0;0;0;район Замоскворечье;3611
район Замоскворечье;3612;38;40;38;0;2;0;38;1;37;0;0;0;0;0;0;0;0;район Замоскворечье;3612
Красносельский район;49;2125;1850;680;31;1139;31;680;7;704;0;0;2;0;7;0;0;0;Красносельский район;49
Красносельский район;50;2540;2250;795;61;1394;61;794;10;845;0;0;1;0;5;0;0;0;Красносельский район;50
Красносельский район;51;2580;2350;786;63;1501;63;786;11;838;0;0;1;0;2;0;0;0;Красносельский район;51
Красносельский район;52;2857;2600;987;94;1519;94;987;13;1068;0;0;4;0;1;0;0;0;Красносельский район;52
Красносельский район;53;1734;1550;495;45;1010;45;493;4;534;1;1;2;0;2;0;0;0;Красносельский район;53
Красносельский район;54;2351;2150;716;40;1394;40;715;15;740;0;0;1;0;1;0;0;0;Красносельский район;54
Красносельский район;55;2610;2350;686;56;1608;56;686;7;735;0;0;1;0;0;0;0;0;Красносельский район;55
Красносельский район;56;2142;1950;737;57;1156;57;737;6;788;0;0;3;0;0;0;0;0;Красносельский район;56
Красносельский район;57;2649;2400;857;51;1492;51;857;10;898;0;0;3;0;1;0;0;0;Красносельский район;57
