ТИК;УИК;Дегтярев Михаил Владимирович;Левичев Николай Владимирович;Мельников Иван Иванович;Митрохин Сергей Сергеевич;Навальный Алексей Анатольевич;Собянин Сергей Семенович;ТИК;УИК
район Измайлово ;1046;2,71;5,69;14,09;5,42;27,91;42,55;район Измайлово ;1046
район Измайлово ;1047;3,96;3,76;11,29;6,34;26,14;46,73;район Измайлово ;1047
район Измайлово ;1048;2,44;2,78;13,23;5,22;33,53;41,88;район Измайлово ;1048
район Измайлово ;1049;4,29;3,43;9,87;5,58;27,47;45,92;район Измайлово ;1049
район Измайлово ;1050;3,25;2,44;10,39;3,90;35,23;43,67;район Измайлово ;1050
район Измайлово ;1051;2,13;2,74;10,05;5,02;34,09;45,05;район Измайлово ;1051
район Измайлово ;1052;2,54;5,07;11,84;4,59;25,72;49,52;район Измайлово ;1052
район Измайлово ;1053;2,13;2,93;10,90;3,99;29,92;49,34;район Измайлово ;1053
район Измайлово ;1054;2,15;2,87;12,20;4,78;32,06;44,50;район Измайлово ;1054
район Измайлово ;1055;3,23;3,47;12,28;3,72;29,65;46,40;район Измайлово ;1055
район Измайлово ;1056;2,72;3,47;17,57;4,95;26,98;43,07;район Измайлово ;1056
район Измайлово ;1057;2,05;2,35;12,90;4,69;33,58;42,08;район Измайлово ;1057
район Измайлово ;1058;2,55;2,89;10,87;3,90;29,88;47,71;район Измайлово ;1058
район Измайлово ;1059;2,91;6,11;10,77;5,09;24,75;49,05;район Измайлово ;1059
район Измайлово ;3671;1,32;1,32;10,53;2,63;18,42;63,16;район Измайлово ;3671
район Измайлово ;3672;0,00;6,67;13,33;0,00;6,67;71,11;район Измайлово ;3672
район Измайлово ;3673;3,23;1,61;4,84;1,61;30,65;56,45;район Измайлово ;3673
район Косино-Ухтомский ;1060;2,54;1,97;8,73;4,79;21,69;59,15;район Косино-Ухтомский ;1060
район Косино-Ухтомский ;1061;1,59;2,52;12,48;1,73;19,26;61,22;район Косино-Ухтомский ;1061
район Косино-Ухтомский ;1062;4,34;2,84;8,08;1,80;16,62;64,52;район Косино-Ухтомский ;1062
район Косино-Ухтомский ;1063;2,08;3,06;8,75;2,92;15,00;67,22;район Косино-Ухтомский ;1063
район Косино-Ухтомский ;1064;2,99;2,24;10,61;2,24;24,22;55,75;район Косино-Ухтомский ;1064
район Косино-Ухтомский ;1065;1,18;1,35;8,95;1,86;23,14;62,50;район Косино-Ухтомский ;1065
район Косино-Ухтомский ;1066;2,47;2,30;10,07;1,94;24,73;57,07;район Косино-Ухтомский ;1066
район Косино-Ухтомский ;1067;3,68;1,23;8,58;1,84;18,75;64,58;район Косино-Ухтомский ;1067
район Косино-Ухтомский ;1068;4,26;2,80;6,79;2,53;24,90;56,32;район Косино-Ухтомский ;1068
